customer_name,customer_email,customer_gender,customer_age_group,customer_loyalty_program,product_category,product_sub_category,product_name,product_rating,product_review_text,product_return_status,product_issue_type,order_id,order_status,purchase_mode,payment_mode,discount_applied,store_location,delivery_status,order_fulfillment_time,response_time,follow_up_required,feedback_date,feedback_category,feedback_sub_category,sentiment,customer_sentiment_score,feedback_text_length,customer_support_rating,resolution_status,staff_name,staff_email
Bridget Willis,stephen70@example.org,Male,18-24,No,Stationery,Microwaves,implement interactive infrastructures,2,"Clear figure this stuff thank always strategy cause. Third wish break painting.
Avoid measure eat. Leg magazine painting where ability never art. May lead popular present score office.",Yes,Missing Parts,c5e60a6b-759e-4cf5-a00e-5e581b5bd1da,Not Confirmed,Offline,Card,No,Chicago,Delivered,1,8,Yes,2024-10-14,Delivery,Poor,Positive,-0.3102776987839293,135,4,Resolved,Jason Howell,jeffreyleonard@example.com
Kayla Smith,wustacey@example.org,Male,45-54,Yes,Household Items,Fruits,harness enterprise architectures,5,Its office clear budget young ten. Plan director help network truth interesting fire both. Produce fish upon green after former wrong use.,No,Not as Described,eb4a6c95-32da-47cd-8baa-b5705feeeb74,Not Confirmed,Offline,Card,No,Mumbai,Delivered,7,12,No,2024-03-11,Customer Support,Average,Positive,0.6658562956360083,176,4,Resolved,Linda Barber,amandabrady@example.org
Michael Powell,krystalgarcia@example.org,Female,25-34,No,Household Items,Cleaning Supplies,iterate bricks-and-clicks infrastructures,2,"Area concern energy as assume race serve. Real bring write admit share.
Ability purpose magazine sing choose wish know.",No,Defective,cbb09527-8e00-499a-a29d-ca34f439eb75,Not Confirmed,Online,UPI,No,New York,Shipped,2,3,Yes,2024-03-24,Usability,Good,Negative,-0.31425336661428926,74,2,Not Resolved,Regina Rodriguez,rachelstone@example.net
William Patterson,andersonjohn@example.org,Male,45-54,Yes,Kitchen Appliances,Vegetables,synthesize strategic models,5,"Fill item because true southern. To figure much evening.
Should itself interesting agency loss. Maintain list wish light bank. Accept president tend whether last get night.",No,Other,313ca75b-5402-44d7-9902-8890f717ae4c,Not Confirmed,Online,Card,Yes,New York,Delivered,1,13,No,2024-11-09,Usability,Poor,Positive,-0.26230337434906836,61,4,Not Resolved,Sarah Gill,carolgarcia@example.org
Heidi Blanchard,garrettcruz@example.org,Other,45-54,No,Household Items,Paper,iterate B2B vortals,4,"Event design when experience key pull. Compare imagine nothing if brother. Population if base interest attorney look training site.
Protect nearly its beyond together manager.",Yes,Not as Described,c21f4f69-8c94-4af9-8722-099aa40ab640,Confirmed,Offline,Cash,Yes,Chicago,Pending,4,23,No,2024-07-13,Price,Average,Negative,0.36445905866067996,139,2,Not Resolved,Regina Rodriguez,dvalenzuela@example.net
Haley Hernandez,kcummings@example.com,Other,35-44,Yes,Kitchen Appliances,Blenders,synergize efficient platforms,3,"Into thus understand everybody identify time world. Inside hand wind respond seven.
Machine how down major hard energy surface. Mission forget security hope end. Give matter wish after.",Yes,Missing Parts,9ec75b54-c241-47d1-8bf5-fe80085f0457,Confirmed,Online,Card,No,New York,Shipped,5,9,Yes,2024-09-03,Usability,Excellent,Negative,0.47483930797087215,65,4,Not Resolved,Karen Taylor,jeffreyleonard@example.com
Emily Brooks,mercedes87@example.net,Other,18-24,Yes,Household Items,Blenders,innovate wireless e-tailers,4,Like television building after song politics. Agree note center technology be teach nearly. Media mind senior think.,No,Defective,dcd77d0e-67fd-4ab2-8384-62fe9649732d,Not Confirmed,Offline,UPI,No,Chicago,Shipped,2,1,Yes,2024-02-26,Service,Poor,Neutral,0.533699898468484,104,2,Not Resolved,Jason Howell,rachelstone@example.net
Ann Compton,veronicawalton@example.net,Male,25-34,No,Groceries,Oral Care,re-intermediate revolutionary methodologies,1,"Scene plant full who such. Writer too on. Need seem lot middle now. Line ten doctor religious low performance nature.
Floor cell religious source form author feel nothing. Test note rich.",No,Defective,cfb86e60-cd4a-489c-8095-c0e29dde345d,Confirmed,Online,Cash,No,Los Angeles,Pending,4,1,No,2024-05-21,Quality,Poor,Positive,-0.15524141169900418,167,5,Resolved,Jason Howell,carolgarcia@example.org
William Walker,cunninghamamanda@example.com,Male,18-24,Yes,Personal Care,Blenders,embrace B2C content,1,Serious game sing movie establish. Thank other pay college vote position among. Vote attack doctor nature million forget. Certainly according allow price able ten in.,No,Missing Parts,ea12f170-9584-48ae-a1cf-037ea0dfebfa,Not Confirmed,Offline,Card,No,Los Angeles,Pending,2,13,Yes,2024-07-25,Customer Support,Poor,Negative,0.2706349631198737,147,2,Resolved,Rebecca Banks,amandabrady@example.org
Daniel York,tomreyes@example.org,Male,35-44,No,Kitchen Appliances,Notebooks,whiteboard viral models,2,"Call beat would much. Rate consumer media last key everyone. Stand feeling couple note free.
Great piece source less much focus. Sport do air management decision second. Shake wrong itself.",Yes,Other,49cd7e0b-22d2-4d21-a47c-30ae0cc42a10,Not Confirmed,Online,Card,Yes,London,Delivered,4,20,Yes,2024-05-21,Quality,Poor,Positive,-0.8887823215056807,180,5,Resolved,Jason Howell,rachelstone@example.net
